,finnish,russian
2245,"Pitää mennä, ennen kuin hikitahrat näkyvät.","Что, по-твоему, чувствуешь, когда умираешь?"
2246,En karkaa varkain vihille.,Кажется нашёл.
2247,Tarvitset muutaman nano-ompeleen.,У тебя есть моя поддержка.
2248,- Hän taistelee kuolemaansa.,"легкий как дух, поднимись."
2249,"New York Timesissa oli kirjoitus äskettäin, jossa koraanin tuntija kertoi, - ettei suora käännös ole 71 tummaa neitsyttä, - vaan 71 puhdasta rusinaa.",Я не могу поставить подпись.
2250,Nähtävästi uivat minkit ja saukot saavat aikaan hyvin samanlaisen äänen kuin sukellusveneen potkurit ja aiheuttavat näin päänvaivaa merivoimien kuuntelijoille.,Я ненавижу тебя.
2251,Uudestaan!,Мы все еще ищем иголку в стоге сена.
2252,& Arkisto,"Не могу уехать, Мередит."
2253,"Voi, hitto.",Это больше не повторится.
2254,Viikkoja?,Мигрируют куда?
2255,Anteeksi.,Больше никого не отвлеку.
2256,"Piristy, Afro.","Великий вождь, мы отпрaвимся к реке и дадим им бой."
2257,Olisi ihanaa hoitaa Liamia.,Это моя вина. Из-за моих косяков мы попали в эту заварушку.
2258,Toimitan sinut pois täältä Buzz.,"Да, я звонил твоему учителю по фортепиано."
2259,- Yksi Grady Shipp on ollut olemassa.,"- Скорей, тюремного надзирателя."
2260,Hän etsi lohtua tallipojasta.,Будешь гоголь-моголь?
2261,- Hän iski syrjässä kuin ammattilainen.,Давай поднимемся и поговорим.
2262,Tiedämmekö heistä mitään?,Что-нибудь есть в холодильнике? Я умираю с голоду.
2263,Selvä juttu.,"Эти доспехи — от Бога, и они очень действенны!"
2264,Siinä ei ole järkeä.,"Если эти засранцы хотят, чтобы люди были в этих убежищах, мы должны их туда загнать."
2265,-Se on jatkunut vuodesta 1878.,-Номер Один главный.
2266,- Muutoksia?,"Если ты пойдёшь за мной, я клянусь, всё изменится."
2267,Voinko auttaa teitä turvavyönne kanssa?,"Хотя к этой секунде я начинаю понимать, что ты применила риторический оборот, чтобы смотивировать нас на дальнейшую беседу."
2268,Trevor ja Charlie yrittivät tappaa.,- Круто.
2269,Tee jotain.,Стрелок с родео рассказывал мне о нём.
2270,"Hoidan sinut kuntoon, vaikka se olisi viimeinen tekoni.",Я пытался всё поправить.
2271,"Hetki vain, kirjoitan pari juttua ensin. Kerro, Brenda...","Двигаемся народ, нейрохирургу готовится операция."
2272,Onnea vain kaikille!,Я ненавижу получать новости из вторых рук.
2273,Ohjausraketin suuttimien kautta.,"Согласно Библии, потомок Каина по имени Ламех стал первым, у кого было две жены."
2274,- Muistatko 15:nnen syntymäpäiväsi?,Что это?
2275,Voit varmasti vaistota sen.,"Пожалуйста, подойдите сюда."
2276,- Minä tapasin tosi hauskan tyypin.,Мне так жаль.
2277,Hänen sisarensa synnyttää.,"Простите, пожалуйста. Сейчас пришьем."
2278,Se voi olla vaikka mitä.,Я нашел решение проблемы.
2279,- Hyvin.,"Так, это странно."
2280,-Vietimme upean yön.,"И еще потому, что вы любите свою контору."
2281,Hän on poissa.,Поэтому ты должен... Должен...
2282,"-Kaikki on hyvin, Zoe.",Ваш пенис не действует.
2283,Goatin.,- Так и не вышла из комнаты?
2284,"Useimmat kuitenkin ajattelivat, että Artemiin temppeli Efesoksessa olisi ikuinen.","Ханна, ваш бывший муж взвинчивает цены на акции во время поглощения."
2285,"Hän sanoi itsekin, ettei hänellä ole mitään menetettävää.",Это она?
2286,"Haluan kertoa, että uskon sinuun täysin.",Руководство по PHP
2287,"Jos näen vihulaisia, ammun varoituslaukauksen.",Но ничего не получилось.
2288,Miksi yhteiskunta pelkäsi 16-vuotiasta tyttöä?,Хорошо.
2289,Nuoria ja kauniita.,Но сладкие поцелуи у меня есть в запасе.
2290,Vaadin Englannin kruunua ja nain poikanne.,- Я уже должен тебе 20 фунтов.
2291,Näet itsekin.,"Это ваше последнее слово, да?"
2292,Arlene?,"В этом случае.. Вики, я уже большая девочка, понимаешь?"
2293,Siinä nähtiin.,- На рабочем месте я тебе не папа.
2294,"Näkemiin, keltanokka.",– Откуда ты можешь знать?
2295,Entä tämä: hankitaan kolmen hengen kanootti - ja mennään Cecen luokse.,ЧТО?
2296,"- Mitä? Ei, minä vain...","- Вы хорошо знаете детей, верно?"
2297,Näin jotain hälinää.,А какое тебе дело?
2298,Aloittaisimme juomilla.,"Спорю, что Вы не уйдете отсюда только потому, что это может быть опасно."
2299,"Miten muuten voidaan selittää se, että rauhan ja aselepojen säilyttäminen on vaikeaa maissa, joita vitsaavat sodat ja terroriteot?",– Чего я боюсь или о чём мечтаю?
2300,-Aivan. Ihailen Elvis Costelloa ja Gerard Manley Hopkinsia. Halusin pyrkiä yhdistämään heidän tyylinsä.,"Не думала, что ты придешь."
2301,Tiedät mitä nämä sanat tarkoittavat.,"Что ты, блять, с ним сделал?"
2302,-Sopiiko?,Кларк.
2303,Rovaniemen kaupungin lasten päivähoito tarjoaa lapsiperheille päivähoitopalveluja lasten ja perheiden tarpeiden mukaisina toimintamuotoina ja -aikoina lasten päivähoidosta annetun lain mukaisesti.,"Стимуляция, увлажнение, ...эрекция, обострение чувствительности,"
2304,En tarkoittanut sitä niin.,"В тот момент, когда я увидел негативы, я понял, что это была твоя работа, даже не смотря на то, что они не были в твоих любимых папках, которые ты заказывала с восточного побережья."
2305,"Leo, sinun pitäisi kertoa tästä isällesi.",Шарлотта.
2306,- Yritän. Yritän.,"-Так что выбери другую расу, я здесь гном, долбоеб!"
2307,"” Se on herkullista ”, vastaa hänen vieraansa. ” Mutta se näyttää aivan munakokkelilta!",Она проклянёт меня!
2308,Ei se ollut hän.,- Это ещё не всё.
2309,"” Miten typerä opetus ”, ajattelin.","Я ходил туда, и они предварительно дали согласие."
2310,"- Voi Samu, auta!","Как видно, еще в дохристианскую эпоху богобоязненные мужчины и женщины временами приходили в отчаяние."
