,english,finnish
2277,A cop was killed.,Poliisi tapettiin.
2278,Always.,Aina.
2279,The girl sings and dances and then laughs at me.,Tyttö laulaa ja tanssii ja sitten nauraa minulle.
2280,Coming soon.,Tulossa pian.
2281,I wrote a letter in French.,Kirjoitin kirjeen ranskaksi.
2282,I need it immediately.,Tarvitsen sen välittömästi.
2283,You pack your suitcases.,Te pakkaatte teidän matkalaukkunne.
2284,Her house is very modern.,Hänen talonsa on todella uudenaikainen.
2285,How much does it cost to get in?,Kuinka paljon sisäänpääsy maksaa?
2286,The sunshine tempted people out.,Auringonpaiste houkutteli ihmiset ulos.
2287,Tom has to go shopping now.,Tomin pitää mennä ostoksille nyt.
2288,He has been working during the whole day.,Hän on tehnyt töitä koko päivän.
2289,We waited.,Me odotimme.
2290,They have plenty of grain in store.,Heillä on varastossa runsaasti viljaa.
2291,Don't be rude.,Älkää olko töykeitä.
2292,Change is possible.,Muutos on mahdollista.
2293,I had a doctor's appointment yesterday morning.,Minulla oli eilen aamulla ajanvaraus lääkärille.
2294,You really should read it.,Sinun pitäisi ihan tosissaan lukea se.
2295,I'm glad we found you.,"Olen iloinen siitä, että löysimme teidät."
2296,I'm not sure what he was thinking.,"En ole varma siitä, mitä hän ajatteli."
2297,Look.,Katsokaa.
2298,My cousins are coming in a few days.,Serkkuni tulevat muutaman päivän sisällä.
2299,My father is two years younger than my mother is.,Minun isäni on kaksi vuotta nuorempi kuin minun äitini.
2300,I'll take a look at it.,Aion katsoa sitä.
2301,The Emperor ordered one of his servants to kill himself.,Keisari määräsi erään palvelijansa tappamaan itsensä.
2302,Wasn't Tom your boyfriend?,Eikö Tomi ollut poikaystäväsi?
2303,What is done out of love always takes place beyond good and evil.,Rakkaudenteko tapahtuu aina hyvän ja pahan tuolla puolen.
2304,A dinner will be given next Saturday.,Illallisjuhlat järjestetään ensi lauantaina.
2305,The blood-stain cannot be removed.,Veritahra ei irtoa.
2306,I saw Tom kissing John's wife.,"Näin, kun Tomi suuteli Jonin vaimoa."
2307,I've got no problems at all with it.,Minulla ei ole sen kanssa minkäänlaista ongelmaa.
2308,Tom stepped back.,Tomi astui pois päin.
2309,It looks like you don't really know what to do.,"Näyttää siltä, että et oikeasti tiedä mitä tehdä."
2310,I knew before you knew.,Tiesin ennen sinua.
2311,I can't find my ticket.,En löydä lippuani.
2312,Four times five is twenty.,Neljä kertaa viisi on kaksikymmentä.
2313,Yesterday I was told I looked like Kohei Tanaka.,"Minulle sanottiin eilen, että näytän Kohei Tanakalta."
2314,I always get up at 6:30.,Nousen sängystä aina kello 6:30.
2315,The water is crystal clear.,Vesi on kristallinkirkasta.
2316,This is something that's never been done before.,"Tämä on jotain sellaista, jota ei ole tehty koskaan aikaisemmin."
2317,They say that death is a brief moment of suffering.,Sanovat kuoleman olevan tovi kärsimystä.
2318,Somebody was murdered.,Joku murhattiin.
2319,Don't you love your wife?,Etkö rakasta vaimoasi?
2320,The horse ran fast.,Hevonen juoksi lujaa.
2321,Do you know where she lives?,"Tiedätkö sinä, missä hän asuu?"
2322,We laughed at Tom.,Me nauroimme Tomille.
2323,Terrorists blew up a bus.,Terroristit räjäyttivät bussin.
2324,Dan arrested Linda at a pizza parlor.,Dan pidätti Lindan pizzeriassa.
2325,Tom didn't give up hope.,Tom ei luopunut toivosta.
2326,How much does it cost?,Mitä se maksaa?
2327,You should join our group.,Sinun pitäisi liittyä ryhmäämme.
2328,Have I ever lied to you?,Olenko ikinä valehdellut sinulle?
2329,Tom doesn't like Mary.,Tom ei tykkää Marysta.
2330,Tom is good at writing.,Tom on hyvä kirjoittamaan.
2331,"A girl came running, with her hair streaming in the wind.","Tyttö tuli juosten, hiukset tuulessa hulmuten."
2332,That was very reassuring.,Se oli hyvin rohkaisevaa.
2333,Tom can speak French a little.,Tom puhuu vähän ranskaa.
2334,His father eats there twice a week.,Hänen isänsä syö täällä kaksi kertaa viikossa.
2335,I'll go find Tom.,Menen etsimään Tomin.
2336,What do you want to give her?,Mitä te haluutte antaa sille?
2337,Why is there a dog in our house?,Miksi meidän kotonamme on koira?
2338,Remember what I told you yesterday.,Muista mitä kerroin sinulle eilen.
2339,Were you intoxicated?,Olitteko päihtyneinä?
2340,I know we can win.,"Minä tiedän, että me voimme voittaa."
2341,Tom's worried.,Tom on huolissaan.
2342,Be home before dark.,Tule kotiin ennen pimeän tuloa.
2343,"Turn down the volume, please.",Voisitko laittaa hiljaisemmalle?
2344,I always catch a cold in the winter.,Vilustun aina talvisin.
2345,I live here now.,Asun täällä nyt.
2346,That's a bit of an exaggeration.,Se on vähän liioittelua.
2347,"Some french fries, please.","Ranskanperunoita, kiitos."
2348,Is Tom with us?,Onko Tom kanssamme?
2349,Squirrels are very good climbers.,Oravat ovat todella taitavia kiipeilijöitä.
2350,I pay in cash.,Minä maksan käteisellä.
2351,I do not know exactly.,En tiedä tarkalleen.
2352,Tom doesn't know any of his neighbors.,Tomi ei tunne yhtäkään naapureistaan.
2353,A dog can't climb up a wall.,Koira ei voi kiivetä seinää.
2354,Tom can speak a little French.,Tom puhuu pikkaisen ranskaa.
2355,Sometimes violence is useful.,Joskus väkivalta on hyödyllistä.
2356,Could you give me a lift in your car?,Voisitko antaa minulle kyydin autossasi?
2357,Please give me a little more chocolate.,Anna minulle vähän lisää suklaata.
2358,What would I wear?,Mitä pukisin päälleni?
2359,I'm practicing judo.,Minä harjoittelen judoa.
2360,It's Saturday today.,Tänään on lauantai.
2361,Twitter is not a real friend.,Twitter ei ole oikea ystävä.
2362,I'm very particular about what I eat.,Minä olen hyvin tarkka syömiseni suhteen.
2363,"If you are tired, go to bed.","Jos olet väsynyt, mene vuoteeseen."
2364,The apple does not fall far from the trunk.,Ei omena kauas puusta putoa.
2365,I very much doubt it.,Minä epäilen sitä suuresti.
2366,Your honesty is refreshing.,Rehellisyytesi on virkistävää.
2367,I'm busy looking for an apartment.,"Kiirettä pitää, kun etsin uutta asuntoa."
2368,I had a light lunch.,Söin kevyen lounaan.
2369,I'm very poor.,Mä oon tosi köyhä.
2370,Do what you think is best.,Tee miten katsot parhaaksi.
2371,It was snowing.,Oli satamassa lunta.
2372,Tom is up to his ears in debt.,Tomi on korviaan myöten veloissa.
2373,Since when do you care about politics?,Mistä lähtien olet välittänyt politiikasta?
2374,I go to a driving school.,Käyn autokoulussa.
2375,Did you buy juice?,Ostitko mehua?
2376,Tom really hoped that Mary would go to the concert with him.,"Tom toivoi kovasti, että Mari lähtisi konserttiin hänen kanssaan."
2377,"Tom will translate French into English for free. ""That's good to know.""",”Tom kääntää ranskasta englantiin ilmaiseksi.” ”Se on hyvä tietää.”
2378,Give yourself enough time.,Anna itsellesi tarpeeksi aikaa.
2379,The Earth rotates.,Maapallo pyörii.
2380,Keep Tom safe.,Pidä Tom turvassa.
2381,There is a sunflower field near the train station.,Rautatieaseman lähellä on auringonkukkapelto.
2382,That's funny.,Tuo on hassua.
2383,I think he's going to be sick.,"Luulen, että hän oksentaa."
2384,Tom's French is gradually improving.,Tomin ranska paranee pikkuhiljaa.
2385,Where is the French embassy?,Missä Ranskan suurlähetystö on?
2386,Light travels faster than sound.,Valo kulkee ääntä nopeammin.
2387,Tom looks about thirty years old.,Tomi näyttää suunnilleen kolmekymmentävuotiaalta.
2388,You may eat anything so long as you don't eat too much.,"Voit syödä mitä tahansa, kunhat et syö liikaa."
2389,It's impossible for me.,Se on minulle mahdotonta.
2390,This sort of work calls for a lot of patience.,Tällainen työ vaatii paljon kärsivällisyyttä.
2391,Tom asked Mary to leave the room.,Tomi pyysi Maria lähtemään huoneesta.
2392,The new team has the capability to win.,Uudella joukkueella on kyky voittaa.
2393,"About 360,000 babies are born every day.",Maailmaan syntyy joka päivä 360 000 vauvaa.
2394,I am not your daughter.,En ole tyttärenne.
2395,Tom is chewing bubble gum.,Tomi jauhaa purkkaa.
2396,"I found one day in school a boy of medium size ill-treating a smaller boy. I expostulated, but he replied: ""The bigs hit me, so I hit the babies; that's fair."" In these words he epitomized the history of the human race.","Näin kerran koulussa keskikokoisen pojan pahoinpitelemessä pienempäänsä. Nuhtelin poikaa, johon hän vastasi: ”Isot lyövät minua, siispä minä lyön vauvoja. Niin on reilua.” Niine hyvineen hän tiivisti ihmiskunnan historian."
2397,I know how much you like Tom.,Tiedän miten paljon tykkäät Tomista.
2398,"Would you pass the salt, please?","Voisitko ojentaa suolan, kiitos."
2399,Colorless green ideas sleep furiously.,Värittömät vihreät ideat nukkuvat raivoisasti.
2400,Everyone burst into laughter.,Kaikki purskahtivat nauruun.
2401,"My bonsai, which is the cherry tree, is starting to bloom.","Bonsaipuuni, joka on kirsikkapuu, on alkamassa kukkia."
2402,I ate a cheeseburger.,Söin juustohampurilaisen.
2403,He likes adventure.,Hän pitää seikkailusta.
2404,Let her go.,Päästäkää hänet.
2405,I don't remember that at all.,En muista sitä ollenkaan.
2406,You should not take advantage of others' weakness.,Toisten heikkoutta ei saisi käyttää hyväkseen.
2407,I got a lot of mail this morning.,Sain tänä aamuna paljon postia.
2408,This one's cuter.,Tämä on söpömpi.
2409,"Tom won't admit it, but he's secretly in love with Mary.","Tom ei tule sitä myöntämään, mutta hän on salaisesti rakastunut Maryyn."
2410,Where's my tea?,Missä minun tee on?
2411,Tom is witty.,Tomi on nopeaälyinen.
2412,I'll phone you later.,Soitan sinulle myöhemmin.
2413,Switzerland is a very beautiful country and well worth visiting.,Sveitsi on valtavan kaunis maa ja oikein käymisen väärti.
2414,Tom has a lot of great ideas.,Tomilla on paljon mahtavia ideoita.
2415,Fight!,Otelkaa!
2416,I have to walk to school.,Minun pitää kävellä kouluun.
2417,There are also French tourists.,Siellä on myös ranskalaisia turisteja.
2418,I want to be a doctor.,Tahdon olla tohtori.
2419,Tom told me you were here.,"Tomi kertoi minulle, että te olitte täällä."
2420,That man sure knows how to troll.,Tuo mies tosiaan tietää kuinka uistella.
2421,There is a photo of Tom on Mary's desk.,"Marin pöydällä on valokuva, jossa on Tomi."
2422,I'm staying at this hotel.,Minä asun tässä hotellissa.
2423,How can I know if a girl likes me?,"Miten voin tietää, pitääkö tyttö minusta vai ei?"
2424,She was as naked as the day she was born.,Hän oli Eevanpuvussa.
2425,Every day they killed a llama to make the Sun God happy.,Jokaisena päivänä he tappoivat laaman pitääkseen Aurinkojumalan onnellisena.
2426,I'm going to go to the movies.,Aion mennä elokuviin.
2427,I'm at home.,Olen kotona.
2428,Tom wasn't waiting for me.,Tom ei odottanut minua.
2429,He struck a match.,Hän raapaisi tulta.
2430,I couldn't go out on account of the bad weather.,En voinut mennä ulos huonon ilman johdosta.
2431,Indonesia is the largest country in the world situated only on islands.,Indonesia on maailman laajin pelkästään saarille sijoittuva maa.
2432,I don't like to drink coffee.,En pidä kahvin juomisesta.
2433,English is an international language.,Englanti on kansainvälinen kieli.
2434,When will you be arriving to the house?,Koska saavut talolle?
2435,"It's not that I don't love you, I just don't want to get married.","Ei ole kyse siitä, ettenkö rakastaisi sinua, mutta en vaan halua mennä naimisiin."
2436,Where's the truck?,Missä rekka on?
2437,"By the time you get home, all the cherry blossoms will have fallen.","Siihen mennessä kun pääset kotiin, kaikki kirsikankukat ovat varisseet."
2438,My name is Dušana.,Minun nimeni on Dušana.
2439,We've had a very hard winter.,On ollut erittäin rankka talvi.
2440,"Can we fix it? - ""No, it's fucked!""","Voidaanko me korjata se? - ""Ei, se on paskana!"""
2441,He is able to swim very fast.,Hän osaa uida todella nopeasti.
2442,She's from Somalia.,Hän on Somaliasta.
2443,Tom speaks French a little.,Tom puhuu pikkaisen ranskaa.
2444,That which does not kill us makes us stronger.,"Mikä ei tapa, vahvistaa."
2445,It's always been that way.,Se on aina ollut noin.
2446,Tom shared his mother's oatmeal cookie recipe with Mary.,Tom kertoi Marille äitinsä kaurakeksireseptin.
2447,He tried to reduce his weight.,Hän yritti alentaa painoaan.
2448,This laptop is light.,Tämä kannettava on kevyt.
2449,Tom lives with his parents.,Tomi asuu sen vanhempien kaa.
2450,I suppose you want me to help.,"Oletan, että haluat minun auttavan."
2451,Who is playing the guitar?,Kuka soittaa kitaraa?
2452,There is only one can of meat left.,Jäljellä on vain yksi purkillinen lihaa.
2453,We graduate from high school at eighteen.,Me valmistumme lukiosta kahdeksantoistavuotiaina.
2454,He never loses hope.,Hän ei koskaan menetä toivoaan.
2455,You were rude.,Olit töykeä.
2456,Tom loves fishing.,Tomi rakastaa kalastamista.
2457,You've already forgotten.,Olet jo unohtanut.
2458,Where is your father?,Missä sinun isäsi on?
2459,Stop calling me honey.,Älä kutsu minua kullaksi.
2460,Tom has stopped taking his medication.,Tomi lopetti lääkkeiden ottamisen.
2461,He's still alive.,Hän on vielä elossa.
2462,Tom used to play the tuba.,Tom soitti aikaisemmin tuubaa.
2463,I wonder what happened to Tom.,Mitäköhän Tomille tapahtui?
2464,We sang in a choir when we were kids.,"Lauloimme kuorossa, kun olimme lapsia."
2465,Tom has long blond hair.,Tomilla on pitkät vaaleat hiukset.
2466,I'm not always free on Sundays.,Minä en ole aina sunnuntaisin vapaana.
2467,"Excuse me, please. I didn't understand that. Can you maybe translate it into one of the following languages?","Anteeksi, en ymmärtänyt. Voisitko kääntää sen yhdelle seuraavista kielistä:"
2468,Can you tell me how to get to the station?,"Voisitteko sanoa minulle, miten pääsen rautatieasemalle?"
2469,You're not even a student here.,Ethän sinä ole edes opiskelija täällä.
2470,It's cold. I want to hibernate.,Onpa kylmä. Haluaisin käydä talviunille.
2471,I live in Helsinki.,Asun Helsingissä.
2472,Mary isn't really sick. She's just faking it.,Ei Mari ole oikeasti sairas. Hän vain teeskentelee.
2473,I put the book down and turned on the light.,Laskin kirjan alas ja laitoin valon päälle.
2474,His house is very modern.,Hänen talonsa on erittäin uudenaikainen.
2475,I didn't have any problems.,Minulla ei ollut lainkaan ongelmia.
2476,I'm buying.,Maksan.
2477,Tom is in the mess hall.,Tom on kantiinissa.
2478,She's dating my brother.,Hän seurustelee veljeni kanssa.
2479,Tom was in a hurry so he left his bed unmade.,"Tomilla oli kiire, niinpä hän jätti vuoteensa tekemättä."
2480,What's your real name?,Mikä sinun oikea nimesi on?
2481,"So far, we only have three volunteers.",Tähän mennessä olemme saaneet vain kolme vapaaehtoista.
2482,That's very hot. Don't touch it.,Se on tosi kuuma. Älä koske siihen.
2483,Have you done the laundry?,Oletko pessyt pyykit?
2484,Please don't use more water than you need.,Käytäthän vettä säästeliäästi.
2485,The bird is dead.,Lintu on kuollut.
2486,The dog is walking around the table.,Koira kävelee pöytää ympäri.
2487,"Anyone can attend my lectures, but not everyone can understand them.","Kuka tahansa voi osallistua luennoilleni, mutta kaikki eivät pysty ymmärtämään niitä."
