,english,russian
2375,How is your surname pronounced?,Как произносится Ваша фамилия?
2376,That's what I want to find out.,Это я и хочу выяснить.
2377,Don't hesitate to ask for advice.,Не стесняйтесь спрашивать совета.
2378,I went to talk to him.,Я пошёл с ним поговорить.
2379,I live there by myself.,Я живу там один.
2380,The boy ran away.,Мальчик убежал.
2381,Tom told me that he was afraid.,"Том сказал мне, что ему страшно."
2382,Tom said that he didn't have insurance.,"Том сказал, что у него нет страховки."
2383,I need to talk to you about that.,Мне нужно с тобой об этом поговорить.
2384,I wouldn't blame them.,Я бы не стал винить их.
2385,I think we need those.,"Думаю, нам нужны вон те."
2386,Tom is probably at home now.,"Том сейчас, вероятно, дома."
2387,Isn't this a wonderful evening?,Не прекрасный ли вечер?
2388,I can't forgive him.,Я не могу его простить.
2389,Almost.,Еще чуть-чуть.
2390,Mary is wearing a blue dress.,На Мэри синее платье.
2391,Tom will probably be afraid of Mary's dog.,"Том, вероятно, будет бояться собаки Мэри."
2392,What will you wear?,В чём вы будете?
2393,Tom wouldn't go with us.,Том бы с нами не пошёл.
2394,They're able to speak Spanish.,Они говорят по-испански.
2395,You can keep it.,Можешь оставить себе.
2396,"I don't want to go, and besides it's too late.","Я не хочу идти, а кроме того, уже слишком поздно."
2397,Walk slowly.,Иди медленно.
2398,You're weird.,Вы странный.
2399,I like you just the way you are.,"Вы мне нравитесь такой, какая Вы есть."
2400,I hope it's worth it.,"Надеюсь, оно того стоит."
2401,We've been waiting over two months.,Мы ждём уже больше двух месяцев.
